dataset,method,tau,layers,selection,best_epoch,label,recall@3,ndcg@3,arhr@3,recall@5,ndcg@5,arhr@5,recall@10,ndcg@10,arhr@10,recall@20,ndcg@20,arhr@20,recall@50,ndcg@50,arhr@50
foursquare-nyc,lightccn_multi,,,test-frame,100,foursquare-nyc__derived_ef__signed__global__ho_item,0.013711143670294058,0.07297142203281143,,0.019165573619563232,0.06436804518210736,,0.02892512649693024,0.05405602410190424,,0.042404100332636335,0.05058702978034226,,0.0674498396232656,0.06043260891934198,
foursquare-nyc,lightccn_multi,,,test-frame,90,foursquare-nyc__derived_e__signed__global__ho_both,0.01427263478217638,0.07807827454802586,,0.02007452725399004,0.06910496286800026,,0.030495908686815044,0.05766490558854144,,0.04478018387787166,0.05412456440538431,,0.0682052665292141,0.06309444351308317,
foursquare-nyc,lightccn_multi,,,test-frame,100,foursquare-nyc__derived_ef__softplus__global__ho_both,0.015099571529012732,0.08118875957824463,,0.021402131634867087,0.07246034273539957,,0.03123827530422623,0.05937792561209495,,0.04622841794781092,0.055826248203583756,,0.07070841184574993,0.06528365534790123,
foursquare-nyc,lightccn_multi,,,test-frame,80,foursquare-nyc__derived_ef__softplus__global__ho_item,0.014402853490102483,0.07758822720363322,,0.020289182249991263,0.06931200259563837,,0.03047603513184384,0.05800984481600959,,0.045247821648417785,0.05439105641551633,,0.06890800860243929,0.06329995486550459,
foursquare-nyc,lightccn_multi,,,test-frame,110,foursquare-nyc__derived_ef__softmax__global__ho_item,0.014739499069752929,0.07744885956056419,,0.020926091024579208,0.07086715841249495,,0.03126649245144703,0.059213877920775634,,0.046584647666519596,0.05575776654475965,,0.07380535187098296,0.06653237919323274,
foursquare-nyc,lightccn_multi,,,test-frame,110,foursquare-nyc__derived_e__softmax__global__ho_both,0.016044170672292534,0.08330887214608014,,0.021122439643691097,0.07224109005687651,,0.030959017528530836,0.059959805605137466,,0.04657222087503577,0.056809880865752296,,0.07412409817951172,0.06761576501435329,
foursquare-nyc,lightccn_multi,,,test-frame,100,foursquare-nyc__stateful_ef__softplus__global__ho_both,0.015233736940619304,0.07906864701040911,,0.020088445856447017,0.06895846036116174,,0.031709133914318774,0.05863182762942071,,0.04403162965520433,0.053878222092946355,,0.06794893434063659,0.06314582124993176,
foursquare-nyc,lightccn_multi,,,test-frame,90,foursquare-nyc__derived_ef__signed__global__ho_both,0.014332789659082275,0.07853214378499346,,0.02050971960543986,0.06979436257585424,,0.030421248539462143,0.05766329508886974,,0.04398680999346048,0.05348566051111848,,0.06852958119623793,0.06302621233786859,
foursquare-nyc,lightccn_multi,,,test-frame,100,foursquare-nyc__derived_e__softplus__global__ho_user,0.015633568067809602,0.08317484928964236,,0.021514110179379493,0.07252412779506547,,0.03141149749504577,0.060109063316619915,,0.04537664702752462,0.055572843118666546,,0.07020649130379328,0.0653748207369514,
foursquare-nyc,lightccn_multi,,,test-frame,110,foursquare-nyc__derived_ef__softmax__global__ho_user,0.01613506276696466,0.08538252883289266,,0.021514636892854266,0.07399962472836484,,0.0315165852004004,0.06119316104612404,,0.04699235357079569,0.057840289960900494,,0.07380946799907967,0.0683753897792767,
foursquare-nyc,lightccn_multi,,,test-frame,90,foursquare-nyc__derived_e__signed__global__ho_item,0.013158726541293131,0.07433837453034542,,0.020082427078025704,0.0684457851143004,,0.029981212444107806,0.05679735604507158,,0.04423621542623155,0.053238303387831844,,0.06762323748496285,0.06209016895204092,
